Club,Player,Position,Manager,Manager_Tenure,FBref_URL
Manchester United,David de Gea,Goalkeeper,Louis van Gaal,2014-2016,https://fbref.com/en/players/7ba6d84e/David-de-Gea
Manchester United,David de Gea,Goalkeeper,José Mourinho,2016-2018,https://fbref.com/en/players/7ba6d84e/David-de-Gea
Manchester United,David de Gea,Goalkeeper,Ole Gunnar Solskjær,2018-2021,https://fbref.com/en/players/7ba6d84e/David-de-Gea
Manchester United,Marcus Rashford,Forward,Louis van Gaal,2014-2016,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Manchester United,Marcus Rashford,Forward,José Mourinho,2016-2018,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Manchester United,Marcus Rashford,Forward,Ole Gunnar Solskjær,2018-2021,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Manchester United,Marcus Rashford,Forward,Erik ten Hag,2022-2024,https://fbref.com/en/players/a1d5bd30/Marcus-Rashford
Manchester United,Luke Shaw,Defender,Louis van Gaal,2014-2016,https://fbref.com/en/players/9c94165b/Luke-Shaw
Manchester United,Luke Shaw,Defender,José Mourinho,2016-2018,https://fbref.com/en/players/9c94165b/Luke-Shaw
Manchester United,Luke Shaw,Defender,Ole Gunnar Solskjær,2018-2021,https://fbref.com/en/players/9c94165b/Luke-Shaw
Manchester United,Luke Shaw,Defender,Erik ten Hag,2022-2024,https://fbref.com/en/players/9c94165b/Luke-Shaw
Manchester United,Scott McTominay,Midfielder,José Mourinho,2017-2018,https://fbref.com/en/players/d93c2511/Scott-McTominay
Manchester United,Scott McTominay,Midfielder,Ole Gunnar Solskjær,2018-2021,https://fbref.com/en/players/d93c2511/Scott-McTominay
Manchester United,Scott McTominay,Midfielder,Erik ten Hag,2022-2024,https://fbref.com/en/players/d93c2511/Scott-McTominay
Manchester United,Bruno Fernandes,Midfielder,Ole Gunnar Solskjær,2020-2021,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
Manchester United,Bruno Fernandes,Midfielder,Ralf Rangnick,2021-2022,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
Manchester United,Bruno Fernandes,Midfielder,Erik ten Hag,2022-2024,https://fbref.com/en/players/507c7bdf/Bruno-Fernandes
Chelsea,César Azpilicueta,Defender,José Mourinho,2013-2015,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
Chelsea,César Azpilicueta,Defender,Antonio Conte,2016-2018,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
Chelsea,César Azpilicueta,Defender,Thomas Tuchel,2021-2022,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
Chelsea,N'Golo Kanté,Midfielder,Antonio Conte,2016-2018,https://fbref.com/en/players/b9fbae28/NGolo-Kante
Chelsea,N'Golo Kanté,Midfielder,Thomas Tuchel,2021-2022,https://fbref.com/en/players/b9fbae28/NGolo-Kante
Chelsea,Mason Mount,Midfielder,Frank Lampard,2019-2021,https://fbref.com/en/players/9674002f/Mason-Mount
Chelsea,Mason Mount,Midfielder,Thomas Tuchel,2021-2022,https://fbref.com/en/players/9674002f/Mason-Mount
Chelsea,Reece James,Defender,Frank Lampard,2019-2021,https://fbref.com/en/players/1265a93a/Reece-James
Chelsea,Reece James,Defender,Thomas Tuchel,2021-2022,https://fbref.com/en/players/1265a93a/Reece-James
Tottenham Hotspur,Harry Kane,Forward,Mauricio Pochettino,2014-2019,https://fbref.com/en/players/21a66f6a/Harry-Kane
Tottenham Hotspur,Harry Kane,Forward,José Mourinho,2019-2021,https://fbref.com/en/players/21a66f6a/Harry-Kane
Tottenham Hotspur,Harry Kane,Forward,Antonio Conte,2021-2023,https://fbref.com/en/players/21a66f6a/Harry-Kane
Tottenham Hotspur,Son Heung-min,Forward,Mauricio Pochettino,2015-2019,https://fbref.com/en/players/92e7e919/Son-Heung-min
Tottenham Hotspur,Son Heung-min,Forward,José Mourinho,2019-2021,https://fbref.com/en/players/92e7e919/Son-Heung-min
Tottenham Hotspur,Son Heung-min,Forward,Antonio Conte,2021-2023,https://fbref.com/en/players/92e7e919/Son-Heung-min
Tottenham Hotspur,Eric Dier,Defender,Mauricio Pochettino,2014-2019,https://fbref.com/en/players/ac861941/Eric-Dier
Tottenham Hotspur,Eric Dier,Defender,José Mourinho,2019-2021,https://fbref.com/en/players/ac861941/Eric-Dier
Tottenham Hotspur,Eric Dier,Defender,Antonio Conte,2021-2023,https://fbref.com/en/players/ac861941/Eric-Dier
Tottenham Hotspur,Hugo Lloris,Goalkeeper,Mauricio Pochettino,2014-2019,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris
Tottenham Hotspur,Hugo Lloris,Goalkeeper,José Mourinho,2019-2021,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris
Tottenham Hotspur,Hugo Lloris,Goalkeeper,Antonio Conte,2021-2023,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris
Arsenal,Granit Xhaka,Midfielder,Arsène Wenger,2016-2018,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
Arsenal,Granit Xhaka,Midfielder,Unai Emery,2018-2019,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
Arsenal,Granit Xhaka,Midfielder,Mikel Arteta,2019-2023,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
Arsenal,Bukayo Saka,Forward,Unai Emery,2018-2019,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Arsenal,Bukayo Saka,Forward,Mikel Arteta,2019-Present,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
Arsenal,Pierre-Emerick Aubameyang,Forward,Unai Emery,2018-2019,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Arsenal,Pierre-Emerick Aubameyang,Forward,Mikel Arteta,2019-2022,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
Arsenal,Alexandre Lacazette,Forward,Arsène Wenger,2017-2018,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette
Arsenal,Alexandre Lacazette,Forward,Unai Emery,2018-2019,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette
Arsenal,Alexandre Lacazette,Forward,Mikel Arteta,2019-2022,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette
,,,,,
,,,,,
,,,,,
,,,,,
